S,P,D,F,r_core_flag,rcore,Sscore,Pscore,Dscore,Fscore,Score
0.16,2.05,2.27,0.25,0.00,0.00,0.00087,0.00056,0.00036,0.00000,0.000447323
0.17,2.07,2.26,0.25,0.00,0.00,0.00106,0.00043,0.00033,0.00000,0.000455132
0.19,1.95,2.25,0.25,0.00,0.00,0.00079,0.00044,0.00032,0.00000,0.000386735
0.20,1.90,2.26,0.25,0.00,0.00,0.00067,0.00045,0.00031,0.00000,0.000358320
0.16,2.12,2.33,0.25,0.00,0.00,0.00063,0.00130,0.00044,0.00000,0.000590893
0.19,1.95,2.23,0.25,0.00,0.00,0.00097,0.00070,0.00029,0.00000,0.000488330
0.17,2.06,2.30,0.25,0.00,0.00,0.00066,0.00091,0.00039,0.00000,0.000492897
0.18,1.98,2.24,0.25,0.00,0.00,0.00085,0.00043,0.00032,0.00000,0.000399743
0.19,1.87,2.26,0.25,0.00,0.00,0.00064,0.00046,0.00031,0.00000,0.000352460
0.20,1.77,2.26,0.25,0.00,0.00,0.00062,0.00046,0.00031,0.00000,0.000347172
0.22,1.72,2.25,0.25,0.00,0.00,0.00065,0.00046,0.00031,0.00000,0.000355355
0.23,1.61,2.27,0.25,0.00,0.00,0.00073,0.00054,0.00036,0.00000,0.000408130
0.20,1.89,2.25,0.25,0.00,0.00,0.00067,0.00045,0.00031,0.00000,0.000358320
0.22,1.70,2.27,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362078
0.20,1.84,2.25,0.25,0.00,0.00,0.00063,0.00046,0.00031,0.00000,0.000348425
0.22,1.66,2.25,0.25,0.00,0.00,0.00076,0.00046,0.00032,0.00000,0.000383558
0.20,1.84,2.26,0.25,0.00,0.00,0.00063,0.00046,0.00031,0.00000,0.000348425
0.18,1.92,2.27,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000363153
0.21,1.77,2.25,0.25,0.00,0.00,0.00062,0.00046,0.00031,0.00000,0.000347172
0.21,1.75,2.26,0.25,0.00,0.00,0.00063,0.00046,0.00031,0.00000,0.000350362
0.20,1.82,2.26,0.25,0.00,0.00,0.00062,0.00046,0.00031,0.00000,0.000346195
0.21,1.73,2.26,0.25,0.00,0.00,0.00065,0.00046,0.00031,0.00000,0.000355355
0.20,1.81,2.26,0.25,0.00,0.00,0.00062,0.00046,0.00031,0.00000,0.000346195
0.19,1.84,2.27,0.25,0.00,0.00,0.00056,0.00056,0.00034,0.00000,0.000364425
