S,P,D,F,rcore_flag,rcore,DeltaE,qmax,Score
0.52,0.04,0.45,0.21,0.0,0.0,0.027929999999999996,0.0019051482536448666,0.029835148253644864
0.52,0.04,0.45,0.02,0.0,0.0,0.027929999999999996,0.0019051482536448666,0.029835148253644864
1.41,1.92,1.3,1.64,0.0,0.0,0.0263,0.0019051482536448666,0.02820514825364487
1.09,0.6,2.77,1.96,0.0,0.0,0.14359999999999998,0.0019051482536448666,0.14550514825364486
0.61,1.56,1.77,1.54,0.0,0.0,0.02972,0.0019051482536448666,0.03162514825364487
1.4,1.56,1.77,1.54,0.0,0.0,0.029220000000000003,0.0019051482536448666,0.03112514825364487
1.4,1.22,1.77,1.54,0.0,0.0,0.0739,0.0017481544703297355,0.07564815447032973
1.4,1.22,0.84,1.54,0.0,0.0,0.07569,0.0018298019099859595,0.07751980190998595
1.4,1.22,0.84,2.58,0.0,0.0,0.07569,0.0018198140120760963,0.07750981401207609
1.41,1.42,0.38,0.52,0.0,0.0,0.036820000000000006,0.0018725700114960693,0.03869257001149608
1.33,2.46,0.35,0.67,0.0,0.0,0.03478,0.0019051482536448666,0.03668514825364486
1.47,1.29,2.34,0.81,0.0,0.0,0.05396999999999999,0.001848283639957513,0.0558182836399575
0.39,2.46,0.35,0.67,0.0,0.0,0.035789999999999995,0.0019051482536448666,0.03769514825364486
0.39,2.46,1.14,0.67,0.0,0.0,0.03576,0.0019051482536448666,0.037665148253644865
0.39,2.46,1.14,3.06,0.0,0.0,0.03576,0.0019051482536448666,0.037665148253644865
0.43,1.67,2.04,0.89,0.0,0.0,0.026750000000000003,0.0019051482536448666,0.02865514825364487
1.14,1.58,2.98,0.52,0.0,0.0,0.12531,0.0019051482536448666,0.12721514825364488
0.63,1.67,2.04,0.89,0.0,0.0,0.026750000000000003,0.0019051482536448666,0.02865514825364487
0.63,1.52,2.04,0.89,0.0,0.0,0.029860000000000005,0.0019051482536448666,0.03176514825364487
0.63,1.52,1.97,0.89,0.0,0.0,0.030150000000000003,0.0019051482536448666,0.03205514825364487
0.63,1.52,1.97,0.84,0.0,0.0,0.030150000000000003,0.0019051482536448666,0.03205514825364487
1.4,1.26,1.3,2.68,0.0,0.0,0.0596,0.0018993387348050464,0.061499338734805044
0.11,1.09,0.5,1.14,0.0,0.0,0.08364,0.0019051482536448666,0.08554514825364487
1.23,2.25,2.16,1.61,0.0,0.0,0.04630000000000001,0.001848283639957513,0.04814828363995752
0.15,2.25,2.16,1.61,0.0,0.0,0.02945,0.0019051482536448666,0.03135514825364487
0.15,1.54,2.16,1.61,0.0,0.0,0.0288,0.0019051482536448666,0.030705148253644867
0.15,1.54,3.0,1.61,0.0,0.0,0.02525,0.0019051482536448666,0.02715514825364487
0.15,1.54,3.0,2.95,0.0,0.0,0.02525,0.0019051482536448666,0.02715514825364487
0.23,0.51,1.18,3.05,0.0,0.0,0.027899999999999998,0.0019051482536448666,0.029805148253644866
0.47,1.97,0.49,1.9,0.0,0.0,0.026959999999999998,0.0019051482536448666,0.028865148253644866
0.39,1.58,0.03,2.89,0.0,0.0,0.02993,0.0019051482536448666,0.03183514825364486
0.46,1.24,1.1,0.74,0.0,0.0,0.07114,0.0018798266996519848,0.07301982669965199
0.19,1.24,1.1,0.74,0.0,0.0,0.07114,0.0018798266996519848,0.07301982669965199
0.19,2.07,1.1,0.74,0.0,0.0,0.028009999999999997,0.001856817601110895,0.02986681760111089
0.19,2.07,2.88,0.74,0.0,0.0,0.023190000000000002,0.001856817601110895,0.025046817601110896
0.19,2.07,2.88,0.01,0.0,0.0,0.023190000000000002,0.0019051482536448666,0.02509514825364487
1.16,1.74,0.61,3.28,0.0,0.0,0.11468,0.0019051482536448666,0.11658514825364487
0.32,2.09,0.27,1.97,0.0,0.0,0.02844,0.0019051482536448666,0.030345148253644868
1.39,2.09,0.27,1.97,0.0,0.0,0.027800000000000005,0.0019051482536448666,0.029705148253644873
1.39,0.15,0.27,1.97,0.0,0.0,0.02725,0.0019051482536448666,0.029155148253644868
1.39,0.15,2.83,1.97,0.0,0.0,0.02277,0.0019051482536448666,0.024675148253644866
1.39,0.15,2.83,3.24,0.0,0.0,0.02277,0.0019051482536448666,0.024675148253644866
1.05,0.99,1.21,3.98,0.0,0.0,0.06213,0.0019051482536448666,0.06403514825364487
