S,P,D,F,r_core_flag,rcore,Sscore,Pscore,Dscore,Fscore,Score
0.10,0.93,1.55,0.25,0.00,0.00,1.15515,0.55072,0.00000,0.00000,0.426469080
0.10,0.95,1.58,0.25,0.00,0.00,0.36388,0.31624,0.00000,0.00000,0.170029672
0.10,0.97,1.62,0.25,0.00,0.00,0.85240,0.31626,0.00000,0.00000,0.292165473
0.09,0.98,1.51,0.25,0.00,0.00,6.43954,3.07242,0.00000,0.00000,2.377991172
0.10,0.92,1.56,0.25,0.00,0.00,1.05430,0.33863,0.00000,0.00000,0.348233685
0.10,0.95,1.55,0.25,0.00,0.00,0.36388,0.31624,0.00000,0.00000,0.170029758
0.10,0.97,1.53,0.25,0.00,0.00,0.85240,0.31627,0.00000,0.00000,0.292165840
0.10,0.96,1.53,0.25,0.00,0.00,0.85240,0.31627,0.00000,0.00000,0.292165840
0.10,0.93,1.55,0.25,0.00,0.00,1.15515,0.55072,0.00000,0.00000,0.426469080
0.10,0.95,1.54,0.25,0.00,0.00,0.36388,0.31624,0.00000,0.00000,0.170029835
0.10,0.96,1.61,0.25,0.00,0.00,0.85240,0.31626,0.00000,0.00000,0.292165473
0.10,0.95,1.53,0.25,0.00,0.00,0.36388,0.31624,0.00000,0.00000,0.170029835
0.10,0.95,1.58,0.25,0.00,0.00,0.36388,0.31624,0.00000,0.00000,0.170029672
0.10,0.95,1.60,0.25,0.00,0.00,0.36388,0.31624,0.00000,0.00000,0.170029583
0.10,0.94,1.64,0.25,0.00,0.00,0.23041,0.14500,0.00000,0.00000,0.093853853
0.09,0.95,1.66,0.25,0.00,0.00,0.36388,0.31623,0.00000,0.00000,0.170029243
0.09,0.94,1.67,0.25,0.00,0.00,0.23041,0.14500,0.00000,0.00000,0.093853595
0.09,0.94,1.71,0.25,0.00,0.00,0.23042,0.14500,0.00000,0.00000,0.093853293
0.09,0.94,1.75,0.25,0.00,0.00,0.23042,0.14499,0.00000,0.00000,0.093852935
0.09,0.93,1.83,0.25,0.00,0.00,1.15516,0.55071,0.00000,0.00000,0.426467088
0.09,0.93,1.74,0.25,0.00,0.00,1.15516,0.55071,0.00000,0.00000,0.426467945
0.09,0.94,1.68,0.25,0.00,0.00,0.23041,0.14500,0.00000,0.00000,0.093853595
